,,p225,p226,p227,p228,p229,p230,p231,p232,p233,p236,p239,p240,p243,p244,p254,p256,p258,p259,p270,p273
StarganOrg,PESQ,"[1.396060824394226, 1.3497477769851685, 1.390255331993103, 1.1055951118469238, 1.4881422519683838, 1.3180437088012695]","[1.060010552406311, 1.066087007522583, 1.0780234336853027, 1.0858336687088013, 1.0758490562438965, 1.0857537984848022, 1.1005892753601074, 1.0836092233657837]","[1.0851532220840454, 1.0784450769424438, 1.0781277418136597, 1.0929887294769287, 1.0920040607452393, 1.1136784553527832, 1.0886507034301758]","[1.4728468656539917, 1.4330424070358276, 1.292752981185913, 1.2793078422546387, 1.2206544876098633, 1.2267863750457764, 1.3070337772369385, 1.1461735963821411, 1.1422022581100464]","[1.4308950901031494, 1.3572413921356201, 1.4384713172912598, 1.7577486038208008, 1.3586339950561523, 1.2850650548934937, 1.5484428405761719, 1.4504896402359009]","[1.2611793279647827, 1.3467363119125366, 1.3433209657669067, 1.332481026649475, 1.2853573560714722, 1.382399559020996, 1.1803562641143799, 1.2005997896194458]","[1.1998692750930786, 1.1985516548156738, 1.1756871938705444, 1.1773951053619385, 1.3007705211639404, 1.136304259300232, 1.0936187505722046]","[1.0687134265899658, 1.0630652904510498, 1.0651692152023315, 1.0672475099563599, 1.0685579776763916, 1.0616194009780884, 1.0775914192199707]","[1.3044254779815674, 1.3472771644592285, 1.4178106784820557, 1.3911762237548828, 1.1880834102630615, 1.6403751373291016, 1.2759654521942139]","[1.1892942190170288, 1.098297119140625, 1.1587311029434204, 1.3109145164489746, 1.1395454406738281, 1.166810393333435, 1.234848141670227, 1.2388287782669067, 1.2073878049850464]","[1.033982753753662, 1.033717155456543, 1.0351485013961792, 1.0366319417953491, 1.0311306715011597, 1.0348659753799438, 1.0344946384429932, 1.04491126537323, 1.053088665008545]","[1.0399577617645264, 1.034287691116333, 1.0383244752883911, 1.0413382053375244, 1.030228853225708, 1.031957745552063, 1.0329197645187378, 1.0375748872756958]","[1.2393726110458374, 1.1615748405456543, 1.203928828239441, 1.1556849479675293, 1.1917859315872192, 1.2441389560699463, 1.1484286785125732, 1.1912919282913208, 1.189391016960144]","[1.0375877618789673, 1.0317935943603516, 1.039668083190918, 1.0342655181884766, 1.0425164699554443, 1.0426526069641113, 1.054422378540039]","[1.3136889934539795, 1.4601064920425415, 1.28435218334198, 1.4491132497787476, 1.3325024843215942, 1.3151477575302124, 1.3162455558776855]","[1.3613320589065552, 1.2922074794769287, 1.2635877132415771, 1.4087591171264648, 1.4205917119979858, 1.346001148223877, 1.2432540655136108]","[1.2386133670806885, 1.2225737571716309, 1.2991863489151, 1.3742811679840088, 1.263859748840332, 1.2085741758346558]","[1.3941943645477295, 1.2202914953231812, 1.3365871906280518, 1.2515745162963867, 1.2529027462005615, 1.2506988048553467, 1.370042085647583, 1.1656148433685303, 1.3503491878509521]","[1.2097464799880981, 1.2925536632537842, 1.2587965726852417, 1.3105989694595337, 1.1870920658111572, 1.157940149307251, 1.2051234245300293, 1.2899836301803589, 1.1752129793167114, 1.2503896951675415, 1.2468196153640747]","[1.1994050741195679, 1.3222382068634033, 1.2046490907669067, 1.1899813413619995, 1.309731125831604, 1.2148994207382202, 1.2540966272354126]"
StarganOrg,PESQ_ref,"[3.6884942054748535, 3.701674461364746, 3.8658432960510254, 4.066910743713379, 3.776134729385376, 3.828371047973633]","[3.173232078552246, 3.117553234100342, 3.6005890369415283, 3.534553050994873, 3.2223432064056396, 3.431928873062134, 3.3528454303741455, 3.4361371994018555]","[3.4732959270477295, 3.5550074577331543, 3.4982094764709473, 3.3791606426239014, 3.4920806884765625, 3.58548903465271, 3.3877456188201904]","[4.128931522369385, 4.104712009429932, 4.094630241394043, 4.083442687988281, 4.160727024078369, 3.9473087787628174, 4.044565200805664, 4.0531840324401855, 4.0101423263549805]","[3.930211305618286, 3.919689655303955, 4.081730365753174, 3.8074307441711426, 3.755995512008667, 3.8433525562286377, 3.8354830741882324, 3.9933760166168213]","[4.129181861877441, 3.974924325942993, 4.171385288238525, 4.084314823150635, 4.015043258666992, 4.01859188079834, 4.002895832061768, 4.143674850463867]","[3.670443296432495, 3.907926559448242, 3.7457683086395264, 3.979522705078125, 3.9133832454681396, 3.8956189155578613, 3.6275839805603027]","[2.1037843227386475, 3.361264228820801, 3.4990286827087402, 3.493065357208252, 3.52384614944458, 3.5489068031311035, 3.5544161796569824]","[4.150923252105713, 2.3428549766540527, 3.858950138092041, 3.8082163333892822, 4.15733003616333, 4.101701736450195, 4.081308841705322]","[3.7880232334136963, 4.234839916229248, 4.110613822937012, 3.403061866760254, 4.182112693786621, 3.988987922668457, 4.1985321044921875, 4.029670238494873, 3.555166482925415]","[3.7843899726867676, 3.8248450756073, 3.878354549407959, 3.9547762870788574, 3.5065062046051025, 3.715247392654419, 3.8606197834014893, 3.929246425628662, 3.771772623062134]","[4.0004496574401855, 3.924560308456421, 3.8877391815185547, 3.954740047454834, 3.9109549522399902, 3.777270793914795, 3.842113733291626, 3.9870684146881104]","[3.5237531661987305, 3.6536471843719482, 3.552834987640381, 3.4226882457733154, 3.692636013031006, 3.4942665100097656, 3.6900079250335693, 3.5638620853424072, 3.5954501628875732]","[3.8336398601531982, 4.049294471740723, 4.098046779632568, 3.752347946166992, 4.010767459869385, 4.032104969024658, 3.9419853687286377]","[3.093327522277832, 3.2371394634246826, 3.0646402835845947, 2.736236095428467, 3.0541951656341553, 3.388486385345459, 3.003998279571533]","[3.293520927429199, 3.5177969932556152, 3.537808895111084, 3.310269594192505, 3.469581365585327, 3.554550886154175, 3.502629041671753]","[3.307973623275757, 3.356397867202759, 3.1599950790405273, 3.2772371768951416, 1.7463003396987915, 3.0984959602355957]","[3.0816850662231445, 3.244790554046631, 3.2631332874298096, 2.022920608520508, 3.1079792976379395, 3.3067007064819336, 3.1862595081329346, 3.315568685531616, 3.3086459636688232]","[2.3193142414093018, 2.51259446144104, 2.355053186416626, 2.1514389514923096, 2.051025629043579, 2.0936529636383057, 2.0142533779144287, 2.6626827716827393, 2.258742094039917, 2.4383790493011475, 2.076911449432373]","[2.8918230533599854, 3.2803642749786377, 3.2453227043151855, 3.2957496643066406, 3.127046823501587, 2.9738919734954834, 2.970069646835327]"
StarganOrg,MSE,"[0.47510923138786765, 0.47420544980177237, 0.36799043007121807, 0.329566157258899, 0.42304993433041255, 0.5691657840925763]","[0.35197260521014806, 0.43643600109011627, 0.3953442501615724, 0.33358742263905866, 0.34605284431912253, 0.41714706096243354, 0.3439257148171769, 0.3307638213965311]","[0.44214832394622094, 0.4049009984853316, 0.40615304854395207, 0.5970288938830514, 0.344136962890625, 0.4032029095818015, 0.38183245382286835]","[0.2910807195015588, 0.47255756131452115, 0.3722941924922199, 0.3090650276929574, 0.44464410375878516, 0.4096137640449438, 0.8268308100576153, 0.4840206755050505, 0.6208376874336518]","[0.34176428634129213, 0.5476222359967565, 0.31513869234187875, 0.3445131193209725, 0.3632926745292468, 0.5235452056219734, 0.3457151454609034, 0.3236626776833432]","[0.44145244755410107, 0.425139725350537, 0.6114647823309748, 0.45517136594082447, 0.4511507553652108, 0.6195376606947484, 0.5810458508555685, 0.4063343864175218]","[0.43468855947818397, 0.4937596979647806, 0.40619004035311124, 0.345170219946927, 0.3260224241851479, 0.4411166451918058, 0.3166837977902325]","[0.3877912692991299, 0.5050336351016068, 0.4168596019622868, 0.4201607016188588, 0.38358148385479723, 0.4672073397501362, 0.38485003972457626]","[0.3266407737595206, 0.2663011290186601, 0.30980540205792684, 0.3449883740021152, 0.34251176629056795, 0.31399329974131657, 0.383372508696396]","[0.49555443096371415, 0.3932930865691076, 0.3785911527593085, 0.47166919780774713, 0.45216209041262134, 0.3852111393529879, 0.4194568998809765, 0.45677940768196695, 0.3771609126212482]","[0.5985688308189655, 0.5417549731985664, 0.5252617297431988, 0.5112538166962336, 0.5366223709444164, 0.6318010258721647, 0.5675757784541156, 0.5843719831593249, 0.6056701359490456]","[0.46584467230902776, 0.523939606741573, 0.4527252324954236, 0.4773768865013465, 0.49887368385529157, 0.5369759079730996, 0.44424260846895514, 0.5821971808118797]","[0.5500545030644673, 0.38919972849416207, 0.5011583910826359, 0.3643090622627783, 0.4063932750146714, 0.46096788194444444, 0.34255719447879196, 0.35730582459332194, 0.3761463117399974]","[0.5432890866126543, 0.6488355804771505, 0.6697046524439103, 0.590635500672043, 0.6495795227340048, 0.6531545960407549, 0.7692222051597052]","[0.26946999034662356, 0.2955397225646322, 0.29659471207013416, 0.41956204204028374, 0.33593059301926964, 0.24980446403032036, 0.2642189276610182]","[0.2826353100535806, 0.25562103343972686, 0.2384129285232284, 0.30846747340926206, 0.24061338580470473, 0.28984306292507034, 0.26892492878748514]","[0.37526880782870103, 0.3335044547303082, 0.3837820221656977, 0.28098264208026963, 0.33999350996478084, 0.3720134110443164]","[0.3803803369341564, 0.436467604496308, 0.4166688814444884, 0.3503863613000897, 0.3497110901636166, 0.4096337008189006, 0.44807783139297386, 0.36973828580273893, 0.3626918247767857]","[0.6131543488198138, 0.5207462226849022, 0.2884061939521522, 0.41454463465073527, 0.6815622374831989, 0.4562646888390219, 0.5432616387038934, 0.38165567851387333, 0.40546637556499376, 0.47711433392348623, 0.3772709763126333]","[0.3460028754340278, 0.40507534944984824, 0.2887272416644168, 0.368773586467161, 0.3076763853092784, 0.36841711837254215, 0.33460552207407657]"
StarganOrg,MSE_ref,"[1.8895018382352942, 1.8412224764847638, 1.7248779776522594, 1.4761932170943708, 1.743656463244417, 1.9288108861502347]","[1.6185512848432055, 1.9443627361918605, 1.7837796770453163, 1.6878149892769607, 1.6498490865251658, 1.7545021609042553, 1.7066825883999432, 1.5022373716606858]","[1.5506574210474047, 1.500105646306818, 1.45081992909209, 1.8706080274290393, 1.4567580202792554, 1.57030189479638, 1.3080971985571346]","[1.4068077540454276, 1.8534269570118158, 1.708804257974585, 1.5089605192632536, 1.6726684080070282, 1.7216907698384831, 2.163302386022044, 1.8140500710227272, 1.8747234109607218]","[1.7641210057713963, 2.214141015625, 1.7712296875, 1.6907113365667976, 1.8331253219436814, 2.0687383855430825, 1.6139827545032752, 1.6091968936011904]","[1.6480668555160412, 1.638281016930191, 1.9599361651598532, 1.5991737311613474, 1.6266132106551205, 1.7791097005208334, 1.8182125507540603, 1.551645945079291]","[1.722730505601415, 1.8290236404806581, 1.684171943832599, 1.516880265550772, 1.5773268074824893, 1.7669644604645094, 1.448753467504529]","[1.7007478675063776, 2.0680267160916825, 1.8038054704157782, 1.8459492090329601, 1.6344497200363197, 1.8664288024237472, 1.7116058659957627]","[1.9285009240591398, 1.6170319994004796, 1.8385914872332316, 1.8457839366129913, 1.8375619283536586, 1.7539777454242929, 1.8701862121730535]","[1.8905012589679913, 1.6501139322916667, 1.701900972406915, 1.9857193515327947, 1.7789680673543689, 1.7587381998697917, 1.786212741845624, 1.8207120139105362, 1.705562831716691]","[2.240151471418309, 1.836294917945171, 1.920011103130863, 2.0738102142467247, 2.0265336157570424, 2.231443964188856, 2.0539874967981557, 2.1729086779673166, 2.2620603063423643]","[1.9616404079861112, 2.0803546348314605, 1.9624009136375522, 1.9609145323720827, 2.030822463890389, 2.111962367839936, 1.7471310004102845, 2.249156230614144]","[1.8600433423501816, 1.5770395132211539, 1.7372321603687237, 1.4404052734375, 1.5492666611649062, 1.7729329427083333, 1.4505225548377403, 1.5330966777764188, 1.531194327765429]","[1.5591825810185185, 1.7630529995622306, 1.6041639350233101, 1.631279506888441, 1.7636323033915877, 1.5006107255196937, 2.011728467636671]","[2.0620855783045977, 2.1553276909722223, 2.1721706442636988, 2.3037849638650965, 2.2444340448181292, 2.084651618047592, 2.131029700337441]","[1.8974793859086243, 1.8967969912574405, 1.7707744069343065, 1.9870279555722892, 1.8565449089403974, 1.8728435008208255, 1.8577484421502977]","[1.7320507137456798, 1.5817801976312786, 1.6515891851380815, 1.4647805606617648, 1.616357858620304, 1.6796129769475359]","[1.849753649048354, 1.8430552808544305, 1.8896628593090716, 1.7306975880308015, 1.717185561414392, 1.7924736053589359, 1.9022107758033768, 1.7221272406176986, 1.7682045865221088]","[2.1134013464095744, 2.0359425264246322, 1.632459873540856, 1.8014214154411765, 2.19218497983871, 2.0277879358747044, 1.9463806352459017, 1.7985047207819507, 1.8260326965788654, 1.963778569148137, 1.8787169888488249]","[1.8091482162475585, 1.8044933757950774, 1.5334137292454104, 1.8439836183414045, 1.7120123240573346, 1.7158666112401464, 1.7522958628881156]"
StarganPhone,PESQ,"[1.4218621253967285, 1.2352473735809326, 1.4606683254241943, 1.195497751235962, 1.467901349067688, 1.4235641956329346]","[1.0523015260696411, 1.0559386014938354, 1.0593096017837524, 1.0748780965805054, 1.067143201828003, 1.0783389806747437, 1.0948069095611572, 1.0716115236282349]","[1.0741076469421387, 1.0627950429916382, 1.0492538213729858, 1.064356803894043, 1.0592421293258667, 1.0841333866119385, 1.067984938621521]","[1.3261069059371948, 1.516737937927246, 1.347757339477539, 1.4036649465560913, 1.632272720336914, 1.2982208728790283, 1.229062795639038, 1.3765006065368652, 1.337056040763855]","[1.5190095901489258, 1.4173976182937622, 1.5499217510223389, 1.7948791980743408, 1.3298060894012451, 1.3960576057434082, 1.5281059741973877, 1.546217679977417]","[1.1578556299209595, 1.2193793058395386, 1.1554105281829834, 1.147068738937378, 1.1866164207458496, 1.2306087017059326, 1.1133370399475098, 1.1187541484832764]","[1.1186363697052002, 1.0795166492462158, 1.0870743989944458, 1.202822208404541, 1.1332134008407593, 1.0755350589752197, 1.06836998462677]","[1.0572447776794434, 1.0611114501953125, 1.0559953451156616, 1.053134560585022, 1.0637761354446411, 1.0563503503799438, 1.0733968019485474]","[1.2350354194641113, 1.3840137720108032, 1.3518155813217163, 1.3129249811172485, 1.1559438705444336, 1.4580059051513672, 1.290921926498413]","[1.3215934038162231, 1.1262201070785522, 1.1770166158676147, 1.322188377380371, 1.1608121395111084, 1.1670414209365845, 1.2962238788604736, 1.353339672088623, 1.2185696363449097]","[1.0347853899002075, 1.052615761756897, 1.0498894453048706, 1.0414905548095703, 1.0445219278335571, 1.0343060493469238, 1.047341227531433, 1.0442842245101929, 1.0459872484207153]","[1.0488593578338623, 1.0428247451782227, 1.0429710149765015, 1.0442147254943848, 1.0348656177520752, 1.0395861864089966, 1.0333760976791382, 1.0344263315200806]","[1.1942428350448608, 1.162805199623108, 1.2873502969741821, 1.1716200113296509, 1.255445122718811, 1.2358465194702148, 1.1644083261489868, 1.2027956247329712, 1.1606048345565796]","[1.0404049158096313, 1.030706763267517, 1.056145429611206, 1.0352567434310913, 1.0444588661193848, 1.0561200380325317, 1.0500069856643677]","[1.2781450748443604, 1.392854928970337, 1.186720609664917, 1.3618525266647339, 1.4283398389816284, 1.260414481163025, 1.2688645124435425]","[1.3624106645584106, 1.2923226356506348, 1.2711007595062256, 1.3419442176818848, 1.4349112510681152, 1.4130877256393433, 1.2446045875549316]","[1.2575953006744385, 1.2407355308532715, 1.2254393100738525, 1.3184229135513306, 1.3070513010025024, 1.2087786197662354]","[1.33274245262146, 1.2648905515670776, 1.3407104015350342, 1.3062448501586914, 1.2525575160980225, 1.312793493270874, 1.3172129392623901, 1.1618783473968506, 1.3539893627166748]","[1.090861439704895, 1.2077369689941406, 1.1971173286437988, 1.237922191619873, 1.0979154109954834, 1.1576049327850342, 1.0938982963562012, 1.2730004787445068, 1.1456178426742554, 1.223940134048462, 1.2129815816879272]","[1.2261948585510254, 1.2899049520492554, 1.2479933500289917, 1.1860369443893433, 1.2424015998840332, 1.2311307191848755, 1.197675347328186]"
StarganPhone,PESQ_ref,"[3.6884942054748535, 3.701674461364746, 3.8658432960510254, 4.066910743713379, 3.776134729385376, 3.828371047973633]","[3.173232078552246, 3.117553234100342, 3.6005890369415283, 3.534553050994873, 3.2223432064056396, 3.431928873062134, 3.3528454303741455, 3.4361371994018555]","[3.4732959270477295, 3.5550074577331543, 3.4982094764709473, 3.3791606426239014, 3.4920806884765625, 3.58548903465271, 3.3877456188201904]","[4.128931522369385, 4.104712009429932, 4.094630241394043, 4.083442687988281, 4.160727024078369, 3.9473087787628174, 4.044565200805664, 4.0531840324401855, 4.0101423263549805]","[3.930211305618286, 3.919689655303955, 4.081730365753174, 3.8074307441711426, 3.755995512008667, 3.8433525562286377, 3.8354830741882324, 3.9933760166168213]","[4.129181861877441, 3.974924325942993, 4.171385288238525, 4.084314823150635, 4.015043258666992, 4.01859188079834, 4.002895832061768, 4.143674850463867]","[3.670443296432495, 3.907926559448242, 3.7457683086395264, 3.979522705078125, 3.9133832454681396, 3.8956189155578613, 3.6275839805603027]","[2.1037843227386475, 3.361264228820801, 3.4990286827087402, 3.493065357208252, 3.52384614944458, 3.5489068031311035, 3.5544161796569824]","[4.150923252105713, 2.3428549766540527, 3.858950138092041, 3.8082163333892822, 4.15733003616333, 4.101701736450195, 4.081308841705322]","[3.7880232334136963, 4.234839916229248, 4.110613822937012, 3.403061866760254, 4.182112693786621, 3.988987922668457, 4.1985321044921875, 4.029670238494873, 3.555166482925415]","[3.7843899726867676, 3.8248450756073, 3.878354549407959, 3.9547762870788574, 3.5065062046051025, 3.715247392654419, 3.8606197834014893, 3.929246425628662, 3.771772623062134]","[4.0004496574401855, 3.924560308456421, 3.8877391815185547, 3.954740047454834, 3.9109549522399902, 3.777270793914795, 3.842113733291626, 3.9870684146881104]","[3.5237531661987305, 3.6536471843719482, 3.552834987640381, 3.4226882457733154, 3.692636013031006, 3.4942665100097656, 3.6900079250335693, 3.5638620853424072, 3.5954501628875732]","[3.8336398601531982, 4.049294471740723, 4.098046779632568, 3.752347946166992, 4.010767459869385, 4.032104969024658, 3.9419853687286377]","[3.093327522277832, 3.2371394634246826, 3.0646402835845947, 2.736236095428467, 3.0541951656341553, 3.388486385345459, 3.003998279571533]","[3.293520927429199, 3.5177969932556152, 3.537808895111084, 3.310269594192505, 3.469581365585327, 3.554550886154175, 3.502629041671753]","[3.307973623275757, 3.356397867202759, 3.1599950790405273, 3.2772371768951416, 1.7463003396987915, 3.0984959602355957]","[3.0816850662231445, 3.244790554046631, 3.2631332874298096, 2.022920608520508, 3.1079792976379395, 3.3067007064819336, 3.1862595081329346, 3.315568685531616, 3.3086459636688232]","[2.3193142414093018, 2.51259446144104, 2.355053186416626, 2.1514389514923096, 2.051025629043579, 2.0936529636383057, 2.0142533779144287, 2.6626827716827393, 2.258742094039917, 2.4383790493011475, 2.076911449432373]","[2.8918230533599854, 3.2803642749786377, 3.2453227043151855, 3.2957496643066406, 3.127046823501587, 2.9738919734954834, 2.970069646835327]"
